product-main,product-review,caption,label
baju-0.png,baju-0-0.png,"Halo kak! Aku mau jualan baju online murah meriah! Follow IG @bajumurah123 ya kak untuk dapatkan diskon 50%! Ada kaos, kemeja, celana semua ada!",0
baju-0.png,baju-0-1.png,PROMO GILA!! Baju branded original hanya 50rb!! Buruan order sebelum kehabisan! WA 08123456789 sekarang juga! Limited stock!,0
baju-0.png,baju-0-2.png,Saya mau refund baju hitam ini. Barang yang diterima tidak sesuai dengan foto produk di toko online.,1
baju-0.png,baju-0-3.png,Mohon refund segera. Baju yang dikirim berbeda dengan gambar yang ditampilkan di website.,1
baju-1.png,baju-1-0.png,DISKON AKHIR TAHUN! Semua baju cuma 25rb! Kualitas premium harga receh! Order via Shopee atau Tokopedia sekarang!,0
baju-1.png,baju-1-1.png,Kak mau tau rahasia awet muda? Pakai baju katun premium kami! Anti aging lho! Info lebih lanjut cek bio Instagram!,0
baju-1.png,baju-1-2.png,Mohon direfund. Produk tidak sama dengan tampilan foto di katalog online.,1
baju-1.png,baju-1-3.png,Saya mau refund baju ini. Barang nyata berbeda jauh dari gambar yang dipromosikan.,1
baju-2.png,baju-2-0.png,Join our online clothing reseller program! Make millions of rupiah per month! No capital needed! Join now via link in bio!,0
baju-2.png,baju-2-1.png,Clothes imported directly from Korea! Latest 2025 models! Wholesale prices for minimum 10 pcs purchase! Order now!,0
baju-2.png,baju-2-2.png,Please refund this t-shirt stacked on the table. The physical appearance doesn't match the product image.,1
baju-2.png,baju-2-3.png,I want a refund. The item received doesn't match the visualization on the product page.,1
baju-3.png,baju-3-0.png,FLASH SALE! Kemeja formal cuma 35rb! Cocok untuk kerja dan acara formal! Stok terbatas! Buruan sebelum sold out!,0
baju-3.png,baju-3-1.png,Mau bisnis dropship baju? Modal 0 rupiah! Keuntungan hingga 300%! Daftar jadi member premium sekarang juga!,0
baju-3.png,baju-3-2.png,Mohon refund kaos pink dengan logo putih ini. Tidak sesuai dengan tampilan di foto produk.,1
baju-3.png,baju-3-3.png,Saya mau refund kaos dengan label ini. Barang aktual berbeda dengan representasi gambar online.,1
baju-4.png,baju-4-0.png,Koleksi terbaru! Kaos distro limited edition! Hanya diproduksi 100 pcs! Pre order sekarang! Jangan sampai nyesal!,0
baju-4.png,baju-4-1.png,Baju couple romantis untuk kamu dan pasangan! Bikin hubungan makin harmonis! Order di link bio ya sayang!,0
baju-4.png,baju-4-2.png,Mohon refund bantal garis ungu biru ini. Produk yang sampai tidak match dengan foto di marketplace.,1
baju-4.png,baju-4-3.png,Saya ingin refund kaos garis pink putih di kasur. Kondisi barang berbeda dari preview gambar.,1
baju-5.png,baju-5-0.png,Customer testimonial: The clothes are really good! Recommended seller! Friendly service! Safe packaging! Thank you!,0
baju-5.png,baju-5-1.png,"GIVEAWAY ALERT! Win 10 free clothes! How to: follow, like, comment, and tag 3 friends! Good luck!",0
baju-5.png,baju-5-2.png,Please refund these black red Chicago Bulls shorts. The item doesn't match the display photo.,1
baju-5.png,baju-5-3.png,I want to refund this Chicago Bulls jersey number 23. The real item doesn't match the advertisement image.,1
baju-6.png,baju-6-0.png,Tutorial fashion: Cara mix and match baju agar terlihat stylish! Simak tips lengkapnya di blog kami!,0
baju-6.png,baju-6-1.png,Baju vintage retro 90an! Bikin kamu tampil beda dan unik! Kualitas premium imported! Order sekarang!,0
baju-6.png,baju-6-2.png,Mohon refund kaos hitam dengan desain emas. Produk fisik tidak cocok dengan visualisasi di website.,1
baju-6.png,baju-6-3.png,Saya ingin refund tumpukan pakaian di kasur. Barang yang diterima beda dengan gambar produk online.,1
baju-7.png,baju-7-0.png,"Outfit terbaik untuk senaman! Bahan mudah bernafas dan boleh meregang! Sesuai untuk gim, yoga, lari! Mari hidup sihat!",0
baju-7.png,baju-7-1.png,Kaos dengan kata-kata motivasi! Buat semangat setiap hari! Berpuluh pilihan kata-kata inspirasi! Pilih kegemaran anda!,0
baju-7.png,baju-7-2.png,Mohon pulang wang kaos coklat dengan garis putih. Tidak sesuai dengan tampilan foto dalam katalog.,1
baju-7.png,baju-7-3.png,Saya mahu pulang wang. Barang yang tiba berbeza daripada gambaran foto di kedai dalam talian.,1
baju-8.png,baju-8-0.png,Size chart lengkap tersedia! Jangan salah pilih ukuran! Ukur dulu sebelum order! Customer service siap bantu!,0
baju-8.png,baju-8-1.png,Baju Korea style! Trendy dan fashionable! Bikin kamu tampil seperti K-pop idol! Order sekarang juga!,0
baju-8.png,baju-8-2.png,Mohon refund kaos hitam dengan logo biru di dada. Item asli tidak match dengan preview produk.,1
baju-8.png,baju-8-3.png,Saya ingin refund kaos hitam bergambar pria dan wanita. Barang nyata berbeda dengan foto marketplace.,1
baju-9.png,baju-9-0.png,Bahan cotton combed 30s! Super adem dan nyaman! Anti gerah! Perfect untuk cuaca tropis Indonesia!,0
baju-9.png,baju-9-1.png,Free ongkir seluruh Indonesia! Minimal pembelian 100rb! Buruan checkout sebelum promo berakhir!,0
baju-9.png,baju-9-2.png,Mohon refund kaos hitam dengan logo putih. Produk yang diterima tidak sesuai gambar display.,1
baju-9.png,baju-9-3.png,Saya mau refund botol susu di rumput. Barang fisik berbeda jauh dari visualisasi online.,1
baju-10.png,baju-10-0.png,"Cara merawat baju agar awet: Cuci dengan air dingin, jangan diperas kuat, jemur di tempat teduh!",0
baju-10.png,baju-10-1.png,Stok ready siap kirim! Pengiriman same day untuk Jakarta! Next day untuk luar Jakarta! Order now!,0
baju-10.png,baju-10-2.png,Mohon refund jaket hitam ini. Item yang sampai tidak cocok dengan foto produk di website.,1
baju-10.png,baju-10-3.png,Saya ingin refund kaos merah ini. Barang aktual berbeda dengan tampilan gambar iklan.,1
baju-11.png,baju-11-0.png,"Join VIP membership! Get exclusive discounts, early access to new collections, and birthday gifts!",0
baju-11.png,baju-11-1.png,Complete men's fashion guide! Styling tips for various occasions! Download free e-book on our website!,0
baju-11.png,baju-11-2.png,Please refund this green shirt. The real product doesn't match the online photo representation.,1
baju-11.png,baju-11-3.png,I want to refund this green jacket with tag. The received item differs from the image preview.,1
baju-12.png,baju-12-0.png,Live streaming fashion show! Saksikan model-model cantik memperagakan koleksi terbaru kami! Jangan lewatkan!,0
baju-12.png,baju-12-1.png,Behind the scenes: Proses produksi baju berkualitas! Lihat dedikasi tim kami! Subscribe channel YouTube!,0
baju-12.png,baju-12-2.png,Mohon refund untuk paket ini. Item fisik tidak match dengan visualisasi di marketplace.,1
baju-12.png,baju-12-3.png,Saya ingin refund baju dengan label ini. Barang nyata berbeda dengan foto display produk.,1
baju-13.png,baju-13-0.png,Request refund kaos bergambar ini. Gambar pria bertopi dan masker sudah blur dan tidak jelas. Cetakan buruk.,1
baju-13.png,baju-13-1.png,"Minta refund. Saat pegang kaos ini, bahan langsung kusut dan gambar mulai luntur. Kualitas sangat jelek.",1
baju-13.png,baju-13-2.png,"Mohon refund. Saat foto selfie pakai baju ini, baru ketahuan ada lubang kecil di beberapa tempat.",0
baju-13.png,baju-13-3.png,Saya mau refund baju coklat ini. Warna tidak sesuai foto produk dan bahan kasar di kulit.,0
baju-14.png,baju-14-0.png,Permintaan pulang wang. Swafoto ini membuktikan baju yang diterima saiznya tidak sesuai dan modelnya berbeza.,1
baju-14.png,baju-14-1.png,Minta pulang wang topi biru ini. Kotak putih di tengah sudah terlepas dan gam tidak kuat. Barang rosak.,1
baju-14.png,baju-14-2.png,Mohon pulang wang kaos kuning kartun ini. Gambar kartun tidak sesuai dengan yang dalam katalog dalam talian.,0
baju-14.png,baju-14-3.png,"Saya ingin pulang wang. Pakej yang tiba isinya pelik, ada alat kawalan jauh dan tiada bajunya. Salah hantar.",0
baju-15.png,baju-15-0.png,Request refund kaos abu-abu ini. Kerah hitam sudah mulai lepas dan logo putih di dada pudar.,1
baju-15.png,baju-15-1.png,Minta refund. Pria ini pakai baju hijau yang dikirim tapi ukurannya kebesaran dan warna tidak sesuai.,1
baju-15.png,baju-15-2.png,Mohon refund baju bergaris dengan bandana merah ini. Kombinasi warna tidak sesuai ekspektasi dan bahan tipis.,0
baju-15.png,baju-15-3.png,Saya mau refund kaos putih ini. Sudah diikat tapi tetap longgar dan bahan mudah kusut.,0
baju-16.png,baju-16-0.png,Request refund. Foto di perahu ini menunjukkan baju yang saya beli tidak waterproof seperti deskripsi.,1
baju-16.png,baju-16-1.png,Minta refund. Baju yang dipakai di foto kolam ini langsung luntur setelah kena air.,1
baju-16.png,baju-16-2.png,Mohon refund polo shirt ini. Garis putih di kerah sudah mulai kotor dan tidak bisa dicuci bersih.,0
baju-16.png,baju-16-3.png,"Saya ingin refund. Saat dijahit logo, ternyata bahan mudah robek dan tidak berkualitas.",0
baju-17.png,baju-17-0.png,Request refund kaos biru dengan zipper ini. Resleting macet dan tidak bisa dibuka tutup dengan lancar.,1
baju-17.png,baju-17-1.png,Minta refund kaos biru dengan label hitam ini. Label palsu dan tidak sesuai brand aslinya.,1
baju-17.png,baju-17-2.png,"Mohon refund paket makanan ini. Salah kirim, yang dipesan baju tapi yang datang makanan.",0
baju-17.png,baju-17-3.png,Saya mau refund sweater rajut ini. Ada lubang di tengah dan benang sudah mulai lepas.,0
baju-18.png,baju-18-0.png,Request refund baju garis hitam putih ini. Saat dipakai langsung terasa gatal dan bahan tidak nyaman.,1
baju-18.png,baju-18-1.png,Minta refund kaos bergaris dengan bintang putih. Bintang sudah mulai lepas dan lem tidak kuat.,1
baju-18.png,baju-18-2.png,Mohon refund kaos biru dalam plastik ini. Kemasan sudah rusak dan baju di dalamnya basah.,0
baju-18.png,baju-18-3.png,Saya ingin refund baju dengan desain biru putih ini. Motif tidak simetris dan cetakan asal-asalan.,0
baju-19.png,baju-19-0.png,Request refund. Foto peace ini sebenarnya untuk protes karena baju yang diterima sangat mengecewakan.,1
baju-19.png,baju-19-1.png,Minta refund kaos hitam dengan tulisan 'S' ini. Huruf sudah mulai terkelupas dan bahan tipis.,1
baju-19.png,baju-19-2.png,Mohon refund baju garis hitam putih ini. Di lantai kayu terlihat jelas warna sudah pudar.,0
baju-19.png,baju-19-3.png,"Saya mau refund sweater ini. Saat berdiri di lantai keramik, sweater langsung kusut dan tidak berbentuk.",0
baju-20.png,baju-20-0.png,Minta refund paket mail ini. Dua kantong yang dikirim isinya tidak sesuai dengan pesanan baju.,1
baju-20.png,baju-20-1.png,Mohon refund. Plastik turtle dalam kantong ini bukan baju yang saya pesan. Salah pengiriman.,1
baju-20.png,baju-20-2.png,Saya ingin refund kantong makanan ini. Pesanan baju tapi yang datang malah makanan.,0
baju-20.png,baju-20-3.png,Request refund kaos hitam dengan nomor ini. Angka di baju sudah mulai lepas dan tidak rapi.,0
baju-21.png,baju-21-0.png,Mohon refund sweater zigzag ini. Pola tidak rapi dan benang sudah mulai lepas di beberapa tempat.,1
baju-21.png,baju-21-1.png,Saya mau refund. Wanita dan anak di bangku ini pakai baju yang dikirim tapi ukurannya salah semua.,1
baju-21.png,baju-21-2.png,Request refund kaos hitam bergambar kucing dan ikan. Gambar sudah blur dan tidak jelas.,0
baju-21.png,baju-21-3.png,Minta refund kaos hitam bergambar wanita dengan gitar. Cetakan sudah mulai pudar dan crack.,0
baju-22.png,baju-22-0.png,Saya ingin refund. Wanita di pantai ini pakai topi yang dikirim tapi ukurannya tidak pas.,1
baju-22.png,baju-22-1.png,Request refund tumpukan baju di meja ini. Semua barang kondisinya kotor dan tidak layak pakai.,1
baju-22.png,baju-22-2.png,Minta refund sweater yang digantung ini. Bahan sudah mulai berbulu dan tidak berkualitas.,0
baju-22.png,baju-22-3.png,Mohon refund dress di kasur ini. Warna tidak sesuai dan ada noda yang tidak bisa hilang.,0
baju-23.png,baju-23-0.png,Request refund. Pria dengan smiley face ini sebenarnya sedih karena baju yang diterima jelek.,1
baju-23.png,baju-23-1.png,Minta refund celana coklat polkadot ini. Motif tidak rapi dan bahan mudah kusut.,1
baju-23.png,baju-23-2.png,Mohon refund. Wanita dengan kaos biru dan medali ini membuktikan baju tidak sesuai ukuran.,0
baju-23.png,baju-23-3.png,Saya ingin refund. Wanita di jalan dengan kaos biru dan jeans ini ukurannya kebesaran.,0
baju-24.png,baju-24-0.png,Request refund kaos hijau dengan tag pink ini. Tag menunjukkan ukuran salah dan bahan tipis.,1
baju-24.png,baju-24-1.png,Minta refund kaos hijau dengan tag ini. Label tidak sesuai dan sepertinya barang KW.,1
baju-24.png,baju-24-2.png,Mohon refund kantong coklat di kasur ini. Isinya bukan baju tapi barang lain. Salah kirim.,0
baju-24.png,baju-24-3.png,Saya mau refund kaos coklat dengan tag ini. Ukuran tidak akurat dan bahan kasar.,0
baju-25.png,baju-25-0.png,Request refund. Wanita di kasur dengan topi ini menunjukkan barang yang diterima tidak sesuai.,1
baju-25.png,baju-25-1.png,Minta refund kaos dan koper di lantai ini. Barang tidak lengkap dan ada yang hilang.,1
baju-25.png,baju-25-2.png,Mohon refund tiga kaos dalam plastik di meja. Kemasan rusak dan baju di dalamnya kotor.,0
baju-25.png,baju-25-3.png,"Saya ingin refund. Vas bunga di meja ini bukan yang saya pesan, harusnya baju.",0
baju-26.png,baju-26-0.png,Request refund selimut hitam dengan zipper ini. Resleting rusak dan tidak bisa ditutup.,1
baju-26.png,baju-26-1.png,Minta refund. Pria di cermin ini pakai baju yang dikirim tapi ukurannya tidak pas.,1
baju-26.png,baju-26-2.png,"Mohon refund bantal di lantai keramik ini. Salah pengiriman, pesanan baju bukan bantal.",0
baju-26.png,baju-26-3.png,Saya mau refund kaos putih dan celana ini. Warna berbeda dari foto katalog online.,0
